x,y,sector,localidad,s11_n
4867825.90662561,2066513.06449659,Oficial,Bosa,
4870688.85923936,2066769.95970502,Oficial,Bosa,506
4870842.36029307,2066583.42304131,Oficial,Bosa,
4871640.66136637,2066540.85136415,Oficial,Bosa,
4869018.62734067,2069506.06786657,Oficial,Bosa,424
4868498.77238248,2069377.60134559,Oficial,Bosa,
4869027.54905529,2069504.90276849,Oficial,Bosa,
4869645.44202422,2066169.83703034,Oficial,Bosa,
4866979.10311265,2067538.01342446,Oficial,Bosa,376
4866924.77236491,2067405.69825442,Oficial,Bosa,
4866740.20135521,2067122.98241527,Oficial,Bosa,
4867288.85718555,2067191.88629114,Oficial,Bosa,
4869263.47572978,2067079.12875948,Oficial,Bosa,158
4866965.50710686,2066783.17856758,Oficial,Bosa,114
4867508.45931223,2068877.71752309,Oficial,Bosa,
4868900.35262491,2066973.47554489,Oficial,Bosa,166
4866403.09101494,2067494.51324291,Oficial,Bosa,112
4867477.56073191,2067392.2883889,Oficial,Bosa,214
