"divipola","municipio","departamento","area_elipsoide_km2","area_3116_km2","area_9377_km2","area_3857_km2","lon_centroide","lat_centroide"
"50680","San Carlos de Guaroa","Meta",807.6274653316,807.7884936642,806.3557419968,816.7011526102,-73.2758322484,3.8476158115
"50683","San Juan de Arama","Meta",1169.0728819958,1169.1045751127,1167.4481869028,1180.7913195643,-73.8163394151,3.2898538492
"50686","San Juanito","Meta",237.3381713676,237.3508746281,236.9902033895,240.3793967921,-73.660415441,4.471344781
"50689","San Mart<U+00ED>n","Meta",5931.2292747258,5933.6581688594,5922.0096922273,5993.7233184301,-72.9853467921,3.535972289
"52036","Ancuy<U+00E1>","Nari<U+00F1>o",68.6547327933,68.9063630748,68.9781346993,69.1496768675,-77.5311578785,1.2452536671
"52051","Arboleda","Nari<U+00F1>o",60.0140731456,60.1857647772,60.2323838889,60.4583405698,-77.1298500106,1.4800510494
"52083","Bel<U+00E9>n","Nari<U+00F1>o",41.732743301,41.8454058268,41.8753942141,42.0459739824,-77.0428953029,1.5907642414
"52110","Buesaco","Nari<U+00F1>o",634.1614546376,635.9608219372,636.447955708,638.7682602994,-77.1163648825,1.3152148349
"52203","Col<U+00F3>n","Nari<U+00F1>o",61.5837806867,61.7505288793,61.794956845,62.048749478,-77.0473157239,1.6363343992
"52207","Consaca","Nari<U+00F1>o",118.9402548538,119.3536359511,119.4707827065,119.7944984989,-77.4406390444,1.2090667292
"52210","Contadero","Nari<U+00F1>o",43.0514976611,43.2090461147,43.2539877547,43.352978446,-77.5280873316,0.9326674969
"52215","C<U+00F3>rdoba","Nari<U+00F1>o",303.6279904844,304.6344369048,304.9173999067,305.7291906814,-77.3603273265,0.7708021822
"52224","Cuaspud","Nari<U+00F1>o",56.8845114729,57.1185874926,57.1858945204,57.2810849746,-77.7359158829,0.8754269327
"52227","Cumbal","Nari<U+00F1>o",911.1058082525,915.3287152661,916.5426531394,917.4897800317,-77.959583431,0.944224136
"52233","Cumbitara","Nari<U+00F1>o",353.8236254553,355.1669764762,355.5510462235,356.5279471873,-77.5928127062,1.7255870785
"52240","Chachag<U+00FC><U+00ED>","Nari<U+00F1>o",145.8153969251,146.2717716027,146.3986782172,146.8831017772,-77.2696899062,1.3864966151
"52254","El Pe<U+00F1>ol","Nari<U+00F1>o",119.4449590967,119.8574601653,119.974215939,120.3327100553,-77.430509716,1.5122832969
"52256","El Rosario","Nari<U+00F1>o",518.4921646643,520.2915581857,520.8006052295,522.5218008503,-77.4382532865,1.8450936372
"52258","El Tabl<U+00F3>n de G<U+00F3>mez","Nari<U+00F1>o",306.1078513276,306.902607683,307.1109344857,308.3552154105,-76.9852692684,1.4094291939
"52287","Funes","Nari<U+00F1>o",393.4833519517,394.7623537313,395.1205995475,396.2353252332,-77.3284272639,0.9142170829
"52320","Guaitarilla","Nari<U+00F1>o",116.3136774556,116.7397833137,116.8613180159,117.1442640891,-77.530113486,1.1513665685
"52323","Gualmat<U+00E1>n","Nari<U+00F1>o",29.8491586931,29.961876671,29.994126206,30.0581197196,-77.5826187746,0.9286425685
"52352","Iles","Nari<U+00F1>o",80.2395096458,80.5315440684,80.6147940798,80.8036374597,-77.5186573336,0.9805341026
"52354","Imu<U+00E9>s","Nari<U+00F1>o",81.436460071,81.7298732418,81.8134178845,82.0136821852,-77.5015084706,1.0728769263
"52378","La Cruz","Nari<U+00F1>o",238.2539064933,238.8463203484,238.9985551613,240.040720294,-76.9233525806,1.5841757986
"52385","La Llanada","Nari<U+00F1>o",244.0120008281,244.99826539,245.2812883143,245.8351120795,-77.7031637077,1.5540067991
"52399","La Uni<U+00F3>n","Nari<U+00F1>o",141.7434096413,142.1523670606,142.2636573723,142.8113089054,-77.1428457506,1.6196971176
"52411","Linares","Nari<U+00F1>o",135.1710044931,135.6634458246,135.8037854347,136.1617111798,-77.520938072,1.3951723358
"52418","Los Andes","Nari<U+00F1>o",953.0005197426,956.8695327198,957.979299662,960.2329047825,-77.7105370885,1.6726006545
"52480","Nari<U+00F1>o","Nari<U+00F1>o",25.2296143054,25.3128124335,25.3361948864,25.4121803467,-77.353888409,1.2808594731
"52565","Providencia","Nari<U+00F1>o",39.7960129526,39.9476248268,39.9910209607,40.082536949,-77.5984420187,1.2328644837
"52573","Puerres","Nari<U+00F1>o",349.0138305708,350.144008253,350.4603647065,351.4384848928,-77.3222465155,0.8265198471
"52585","Pupiales","Nari<U+00F1>o",129.1578266222,129.6598465332,129.8037836692,130.0611879473,-77.63336955,0.9167695674
"52612","Ricaurte","Nari<U+00F1>o",1050.6454672131,1055.741595532,1057.2039605194,1058.1916620635,-78.0476571898,1.2027521769
"52685","San Bernardo","Nari<U+00F1>o",64.9916668083,65.164517118,65.2102667377,65.4757254879,-77.020706628,1.5297825111
"52687","San Lorenzo","Nari<U+00F1>o",248.3909062637,249.1435917851,249.3512364348,250.2439749555,-77.2187267458,1.5421384475
"52694","San Pedro de Cartago","Nari<U+00F1>o",55.4915004833,55.6472944168,55.6893407051,55.905166175,-77.1014031875,1.5368233788
"52699","Santacruz","Nari<U+00F1>o",538.4067590697,540.6326479601,541.272417935,542.3054482636,-77.7445728221,1.2851777659
"52720","Sapuyes","Nari<U+00F1>o",115.0891115562,115.5484257701,115.6802928134,115.9021676035,-77.6804497253,1.03618926
"52786","Taminango","Nari<U+00F1>o",233.9000812415,234.6578250213,234.8699636156,235.6559604193,-77.3252534136,1.5916608141
"52788","Tangua","Nari<U+00F1>o",217.2446336319,217.9597716071,218.16072483,218.7833808486,-77.3506346718,1.0640773436
"52838","T<U+00FA>querres","Nari<U+00F1>o",215.4363270143,216.2723488548,216.5119754519,216.9723966202,-77.6307324277,1.1344394336
"52885","Yacuanquer","Nari<U+00F1>o",102.3826911366,102.7351561877,102.8349179139,103.1119801931,-77.4246759586,1.1255477609
"54003","Abrego","Norte de Santander",1382.095614235,1382.4497567947,1379.8987167392,1418.6685447959,-73.158523226,8.0198035787
"54051","Arboledas","Norte de Santander",455.9450073929,456.1489886285,455.2191989028,467.1093504274,-72.8613758698,7.6132294827
"54125","C<U+00E1>cota","Norte de Santander",138.8369976127,138.9221902413,138.6200561223,142.0173273395,-72.6521215005,7.2705593496
"54172","Chin<U+00E1>cota","Norte de Santander",166.142525235,166.2542715481,165.8854820722,170.1873371818,-72.5839080356,7.5833461318
"54174","Chitag<U+00E1>","Norte de Santander",1184.3109225205,1185.178041365,1182.5022459645,1210.2947031309,-72.525426015,7.0516169042
"54206","Convenci<U+00F3>n","Norte de Santander",931.7030286888,931.9213582402,930.2277533738,960.553306244,-73.2002153758,8.8730269695
"54223","Cucutilla","Norte de Santander",374.7250555482,374.9105451947,374.1306247832,383.7059147737,-72.7970404292,7.5021751699
"54245","El Carmen","Norte de Santander",1727.4600766298,1727.7429388448,1724.7651933084,1780.8989570925,-73.3459626816,8.8678678664
"54250","El Tarra","Norte de Santander",703.8688168245,704.1002842307,702.7440636875,724.90186417,-73.031769453,8.6782465292
"54347","Herr<U+00E1>n","Norte de Santander",106.8770401042,106.958019386,106.714409904,109.4343447303,-72.4926964551,7.4939528582
"54385","La Esperanza","Norte de Santander",669.7941271741,669.8994436388,668.751065079,686.4556004164,-73.3614120818,7.6952332952
"54398","La Playa","Norte de Santander",242.1568535097,242.2146651957,241.7723702622,248.8539675843,-73.187892056,8.256757576
"54418","Lourdes","Norte de Santander",86.5478786657,86.5873364087,86.4100834166,88.8135693246,-72.8467035805,7.9637117516
"54480","Mutiscua","Norte de Santander",158.7287430189,158.8108975015,158.4775038835,162.3979467188,-72.7683458192,7.3169487046
"54520","Pamplonita","Norte de Santander",170.8236749249,170.9308946389,170.5573608434,174.9022938728,-72.6351519079,7.4828761409
"54553","Puerto Santander","Norte de Santander",44.9079805302,44.9454358371,44.8408260776,46.1667210274,-72.4111895749,8.3291370638
"54599","Ragonvalia","Norte de Santander",97.6532070153,97.7257772922,97.5041683094,100.0360470964,-72.5075662686,7.5953551871
"54660","Salazar","Norte de Santander",493.6917624641,493.9100885627,492.9055140421,506.1557720769,-72.8677015044,7.7727478009
"54670","San Calixto","Norte de Santander",397.920169455,398.0219543727,397.2875620923,409.3332061708,-73.157994578,8.453838115
"54673","San Cayetano","Norte de Santander",139.1913357631,139.2816461666,138.9751225103,142.7560660103,-72.6097107409,7.8478691078
"54680","Santiago","Norte de Santander",172.4422658257,172.5381902385,172.1706171115,176.8934188784,-72.718253307,7.8892299951
"54743","Silos","Norte de Santander",316.6945727724,316.8541930261,316.1925890876,323.8226328209,-72.786177265,7.1809857977
"54800","Teorama","Norte de Santander",926.8142811502,927.0515296209,925.3411136503,954.9318380418,-73.1572261638,8.7599250806
"54810","Tib<U+00FA>","Norte de Santander",2678.7565836954,2680.0785656534,2674.5160217971,2759.3437113516,-72.7991792687,8.7134013036
"54871","Villa Caro","Norte de Santander",400.9149174455,401.0584513262,400.2739773572,411.3565304317,-72.9875915669,7.9362835012
"63001","Armenia","Quindio",121.520445358,121.6210597959,121.6011070781,123.0869477849,-75.724900166,4.4995021438
"63111","Buenavista","Quindio",38.4255409879,38.4580992729,38.4522941363,38.9070570148,-75.7440375322,4.3666321459
"63130","Calarca","Quindio",220.673001471,220.8410554164,220.7949559789,223.4986056389,-75.6567546395,4.4678759548
"73563","Prado","Tolima",422.9307766374,423.0130015758,422.7073693772,427.5659691769,-74.8724781958,3.7291669519
"73585","Purificaci<U+00F3>n","Tolima",402.1260319172,402.2048208318,401.9146557736,406.6493808646,-74.8745102015,3.8542825759
"73616","Rioblanco","Tolima",2044.2515421778,2046.2337923392,2046.0808625907,2065.4983859072,-75.8548225077,3.4680636733
"73622","Roncesvalles","Tolima",775.3036291898,775.8494729986,775.6566691091,784.4826524332,-75.5942830644,4.097858372
"73624","Rovira","Tolima",739.1341782823,739.4995936083,739.1955098641,748.1073664029,-75.3475875377,4.2167249597
"73671","Salda<U+00F1>a","Tolima",193.174442103,193.2267746661,193.1056638414,195.3739424341,-75.018598577,3.9125418969
"73675","San Antonio","Tolima",383.2267405163,383.4635590048,383.3444116766,387.6296533808,-75.4990742711,3.9551544663
"73678","San Luis","Tolima",412.0913656957,412.2262941209,411.9931420981,417.0027613579,-75.1124505104,4.1286054206
"73686","Santa Isabel","Tolima",270.0807229199,270.1866202949,270.0501456854,273.7368779121,-75.2071261497,4.7291144105
"73770","Su<U+00E1>rez","Tolima",190.1461522732,190.1780605852,190.0337888573,192.37456073,-74.8185930611,4.0489275213
"73854","Valle de San Juan","Tolima",197.7740535402,197.8463542732,197.7421060061,200.1573800158,-75.1714840382,4.1821244715
"73861","Venadillo","Tolima",334.5598158333,334.6327814729,334.4008920487,339.0704405226,-74.9208934239,4.7098820654
"73870","Villahermosa","Tolima",278.7508501984,278.8499369009,278.6995039662,282.7198155492,-75.1559353023,4.9657543361
"73873","Villarrica","Tolima",430.4241897277,430.4630128971,430.0801199468,435.2663371879,-74.6189707828,3.8543791227
"76020","Alcal<U+00E1>","Valle del Cauca",62.3023055807,62.3575728882,62.3496816972,63.1367119538,-75.7829782143,4.6788978269
"76036","Andaluc<U+00ED>a","Valle del Cauca",110.3136132278,110.4604144028,110.4744366982,111.6325271882,-76.1647012187,4.1448533848
"76041","Ansermanuevo","Valle del Cauca",305.0965641419,305.4511745261,305.4618728742,309.2860637002,-76.0296328517,4.795927031
"76054","Argelia","Valle del Cauca",90.6782451655,90.7960434988,90.8059535459,91.8992996409,-76.1416505073,4.7042871678
"76100","Bol<U+00ED>var","Valle del Cauca",742.3843418893,743.5720730406,743.7637704226,751.6820854558,-76.3648610647,4.3636840573
"76111","Guadalajara de Buga","Valle del Cauca",824.8235030273,825.8651372465,825.938584211,834.103504363,-76.1051375029,3.855255322
"76113","Bugalagrande","Valle del Cauca",396.2909924165,396.7813227622,396.8119726338,401.0815999098,-76.0896055686,4.1968527926
"76122","Caicedonia","Valle del Cauca",166.8261270869,166.983687029,166.9687040113,168.8913351476,-75.8367261233,4.3089948696
"76126","Calima El Darien","Valle del Cauca",791.9170071413,793.4932257984,793.8362694902,800.9961289522,-76.6277849214,3.9443937289
"76001","Cali","Valle del Cauca",561.9698289855,563.0443221356,563.2705949608,567.7269376835,-76.5764921014,3.3990426751
"76243","El <U+00C1>guila","Valle del Cauca",187.5870678828,187.8130973168,187.8240559578,190.2308198152,-76.0660103511,4.9175597781
"76246","El Cairo","Valle del Cauca",213.9053224324,214.2033551835,214.237019345,216.8177730237,-76.215030539,4.7560625691
"76248","El Cerrito","Valle del Cauca",441.2735660703,441.8885789737,441.9585065742,446.0568345126,-76.2091608772,3.6759958252
"76250","El Dovio","Valle del Cauca",235.0596888219,235.4101134223,235.4586174967,238.1160209441,-76.2876266569,4.5399797406
"76275","Florida","Valle del Cauca",401.0196633384,401.5548236749,401.607158606,405.0500885718,-76.164773473,3.3041061611
"76306","Ginebra","Valle del Cauca",268.3661095376,268.7327228466,268.7719196029,271.3163751757,-76.1908222962,3.7441050091
"76318","Guacar<U+00ED>","Valle del Cauca",162.2551857208,162.4990802609,162.5338677529,164.0536512849,-76.2944905783,3.7837808036
"76364","Jamund<U+00ED>","Valle del Cauca",627.6822312693,628.9328233569,629.2073004226,633.8788875711,-76.6276034478,3.2138965847
"76377","La Cumbre","Valle del Cauca",254.9227874364,255.4149015643,255.5194757725,257.6967310326,-76.5898985115,3.6942993435
