proceso,t
hawkes,729.415755838691
hawkes,730.945423617417
hawkes,731.060285477367
hawkes,731.396925179057
hawkes,731.446225726217
hawkes,731.995206235074
hawkes,732.125962526506
hawkes,732.560571348461
hawkes,732.843648005459
hawkes,735.247364223137
hawkes,736.082665781032
hawkes,741.917366224894
hawkes,742.158712005672
hawkes,742.661547162763
hawkes,748.552631971392
hawkes,748.694952178999
hawkes,748.706823383109
hawkes,749.590461979476
hawkes,749.780015444351
hawkes,749.990666813965
hawkes,750.301145998294
hawkes,750.546398993362
hawkes,750.59859489841
hawkes,752.96741068351
hawkes,753.589428499372
hawkes,754.065722766928
hawkes,757.418492016992
hawkes,761.46854287278
hawkes,762.784588623918
hawkes,763.836469038713
hawkes,764.040994512256
hawkes,767.255185613313
hawkes,767.467922473607
hawkes,767.937259777451
hawkes,768.276490844632
hawkes,769.25958853747
hawkes,769.789573050296
hawkes,770.019903612252
hawkes,770.054882488377
hawkes,770.522296676886
hawkes,770.834177832655
hawkes,771.186632949506
hawkes,771.579928025394
hawkes,772.651645387158
hawkes,773.210493458623
hawkes,773.211819308337
hawkes,773.253971102101
hawkes,773.924833618606
hawkes,776.023471960523
hawkes,778.219236367494
hawkes,783.076027211421
hawkes,783.654663080488
hawkes,786.025210829766
hawkes,786.626900532697
hawkes,786.637908948729
hawkes,786.712426357248
hawkes,787.425586059109
hawkes,787.804974013483
hawkes,787.893284358902
hawkes,788.354701387624
hawkes,788.432417409383
hawkes,788.709554717492
hawkes,792.956680181853
hawkes,795.505329120981
hawkes,799.561512721217
hawkes,805.829755290472
hawkes,805.903448634485
hawkes,805.914878044314
hawkes,806.547809095601
hawkes,810.779733171011
hawkes,810.823071357807
hawkes,811.132290487701
hawkes,811.674214500286
hawkes,817.87898084779
hawkes,818.386700834062
hawkes,818.444432995734
hawkes,818.44930315752
hawkes,819.533223028857
hawkes,819.914616449006
hawkes,821.959055082327
hawkes,822.575313477591
hawkes,822.624206321396
hawkes,823.929118069341
hawkes,825.217336834325
hawkes,825.303482520194
hawkes,825.338088848129
hawkes,825.447163585932
hawkes,825.834820979589
hawkes,825.884696263121
hawkes,826.026104482486
hawkes,826.213372050753
hawkes,826.894199060496
hawkes,826.943609697928
hawkes,827.073831750964
hawkes,827.150643367975
hawkes,827.156093191232
hawkes,827.168097652059
hawkes,827.463377470872
hawkes,828.663047074127
hawkes,828.842500999073
hawkes,829.642267853146
hawkes,829.67690912331
hawkes,829.694268270676
hawkes,829.84492761087
hawkes,829.847371960269
hawkes,830.270184871633
hawkes,830.851188469291
hawkes,831.499271530299
hawkes,831.918430998336
hawkes,831.986718124817
hawkes,832.847039096398
hawkes,834.091845211344
hawkes,834.264608329078
hawkes,834.581529290372
hawkes,834.783878385413
hawkes,835.209771260402
hawkes,843.568508350504
hawkes,843.646465771848
hawkes,844.306207669529
hawkes,844.83509453229
hawkes,846.457205777537
hawkes,847.324416220598
hawkes,848.214661697234
hawkes,853.697150827013
hawkes,853.923066851153
hawkes,854.259911777786
hawkes,854.488456048373
hawkes,855.547862730673
hawkes,855.611348340303
hawkes,855.62778564329
hawkes,856.946258272424
hawkes,861.045890249928
hawkes,865.560846618198
hawkes,865.609431634924
hawkes,866.180597812736
hawkes,867.068802326573
hawkes,867.216122510405
hawkes,868.229146672154
hawkes,868.37076102227
hawkes,874.088304576202
hawkes,874.315857207952
hawkes,874.376409822553
hawkes,874.452226289739
hawkes,877.753449406127
hawkes,880.305443262219
hawkes,880.797327743583
hawkes,881.103371786417
hawkes,881.877597444186
hawkes,881.888468940799
hawkes,882.030612368364
hawkes,882.553571633704
hawkes,883.306577770255
hawkes,883.818851385664
hawkes,886.847687345883
hawkes,887.118017120661
hawkes,888.060734638524
hawkes,889.508865296443
hawkes,889.846138061425
hawkes,895.167406908776
hawkes,895.512674340865
hawkes,895.939393096283
hawkes,895.948130327694
hawkes,896.233260102015
hawkes,896.334333834794
hawkes,896.454109840972
hawkes,896.539720987018
hawkes,896.644678219659
hawkes,896.671922304429
hawkes,896.860972155078
hawkes,897.592737266955
hawkes,897.735755459671
hawkes,897.853942483043
hawkes,898.326363672099
hawkes,898.386917645487
hawkes,898.389010890358
hawkes,899.796599930891
hawkes,903.319352983559
hawkes,903.705786505864
hawkes,905.271261401503
hawkes,905.583858596594
hawkes,906.401607382076
hawkes,906.567143858832
hawkes,906.796183920981
hawkes,910.244166501876
hawkes,910.338750511048
hawkes,910.644625033466
hawkes,911.170848288143
hawkes,912.164954755337
hawkes,912.382669061243
hawkes,913.278329180555
hawkes,913.703883802515
hawkes,913.711351269593
hawkes,914.280246365409
hawkes,914.470921826823
hawkes,914.596251442538
hawkes,915.792830812492
hawkes,916.308129250817
hawkes,916.796905978795
hawkes,916.818711532329
hawkes,917.066808804406
hawkes,917.822955505586
hawkes,918.161409346712
hawkes,918.170521298922
hawkes,919.111073130662
hawkes,919.943076627263
hawkes,920.026179011786
hawkes,921.297066041884
hawkes,921.371476392449
hawkes,921.386540869041
hawkes,921.691693888247
hawkes,929.783866943584
hawkes,931.375325681269
hawkes,931.41412639443
hawkes,935.132981146135
hawkes,938.501532148436
hawkes,939.318100636594
hawkes,940.037284675661
hawkes,940.298910373546
hawkes,940.932589611957
hawkes,941.04739704416
hawkes,942.213570200824
hawkes,943.932016046969
hawkes,944.010092743562
hawkes,944.106079099459
hawkes,944.621674749256
