divipola,municipio,departamento,desercion,wy,vecinos
20250,El Paso,Cesar,6.65,4.9481818182,11
20295,Gamarra,Cesar,4.53,4.2925,4
20310,González,Cesar,5.75,5.1375,4
20383,La Gloria,Cesar,5.75,4.72,7
20517,Pailitas,Cesar,3.47,4.6525,4
20550,Pelaya,Cesar,5.41,4.525,4
20614,Río de Oro,Cesar,7.73,4.3575,4
20621,La Paz,Cesar,6.3,4.965,6
20710,San Alberto,Cesar,5.95,4.685,4
20750,San Diego,Cesar,6.53,5.165,2
20770,San Martín,Cesar,3.38,5.26625,8
20787,Tamalameque,Cesar,4.25,4.5728571429,7
23001,Montería,Córdoba,2.98,3.7690909091,11
23068,Ayapel,Córdoba,3.3,4.363,10
23079,Buenavista,Córdoba,3.81,3.306,5
23090,Canalete,Córdoba,3.41,3.9866666667,3
