"dane_sede","localidad","estrato","lon","lat","x_9377","y_9377"
"311001105197","Engativa",3,-74.10493161,4.7051971474,4877501.86190219,2078015.6981498
"311001105219","Engativa",3,-74.1039201798,4.6935400377,4877611.97401758,2076727.25122388
"311001105227","Engativa",2,-74.1420020204,4.7154785516,4873393.38257016,2079158.56065419
"311001105243","Engativa",2,-74.1324301898,4.7082398394,4874453.39035131,2078356.84431844
"311001105286","Engativa",3,-74.1165701299,4.7171979531,4876213.52018516,2079344.00930221
"311001105316","Engativa",3,-74.1259784598,4.7145272464,4875169.87336222,2079050.5365383
"311001105324","Engativa",4,-74.1100468203,4.6733226242,4876929.11432603,2074494.02183079
"311001105332","Engativa",3,-74.12435411,4.7161940672,4875350.27495745,2079234.45358901
"311001105341","Engativa",3,-74.09487736,4.6850634062,4878613.18000862,2075788.89645235
"311001105367","Engativa",3,-74.1138474997,4.7206801746,4876516.01289697,2079728.36048746
"311001106444","Engativa",3,-74.11474176,4.7118418933,4876415.29778366,2078751.76459322
"311001106649","Engativa",3,-74.0887560698,4.6806793141,4879291.16461009,2075303.34059489
"311001106665","Engativa",3,-74.0921375298,4.68438327,4878916.85895596,2075713.25882078
"311001107254","Engativa",3,-74.1000672804,4.6913796174,4878038.80957013,2076487.823251
"311001107572","Engativa",3,-74.1236442298,4.7177938023,4875429.26987133,2079411.12041932
"311001108307","Engativa",3,-74.0999450098,4.6771282634,4878049.89750815,2074912.83574699
"311001108358","Engativa",3,-74.1175729201,4.7027565918,4876099.77722323,2077748.2124562
"311001108412","Engativa",3,-74.0823568904,4.6866129392,4880001.72822023,2075957.98496555
"311001108471","Engativa",3,-74.1241134702,4.7148725211,4875376.72091173,2079088.36060455
"311001108749","Engativa",2,-74.1362266696,4.7111152269,4874032.95726996,2078675.30157188
"311001108951","Engativa",2,-74.1399895103,4.7118070016,4873615.86272419,2078752.43383177
"311001108960","Engativa",3,-74.1005607699,4.6914570623,4877984.10462043,2076496.46790505
"311001109036","Engativa",3,-74.1106218597,4.6929729687,4876868.78907267,2076665.75745524
"311001109044","Engativa",3,-74.1145401296,4.7155022181,4876438.30085347,2079156.24627013
"311001109184","Engativa",3,-74.1228326603,4.7126380451,4875518.33644371,2078841.18995045
"311001109192","Engativa",4,-74.1063946899,4.6672012203,4877333.01232507,2073816.88495654
"311001109206","Engativa",3,-74.0965340303,4.6910701899,4878430.52456176,2076453.01308647
"311001109320","Engativa",3,-74.1136549,4.6960140614,4876533.01796809,2077002.37486942
