divipola,municipio,departamento,tipo,desercion,clase_equal,clase_quantile,clase_fisher,clase_sd,clase_headtails
52699,Santacruz,Nari<U+00F1>o,Municipio,2.79,1,2,2,1,1
52720,Sapuyes,Nari<U+00F1>o,Municipio,0.6,1,1,1,1,1
52786,Taminango,Nari<U+00F1>o,Municipio,1.8,1,1,1,1,1
52788,Tangua,Nari<U+00F1>o,Municipio,0.81,1,1,1,1,1
52838,T<U+00FA>querres,Nari<U+00F1>o,Municipio,1.59,1,1,1,1,1
52885,Yacuanquer,Nari<U+00F1>o,Municipio,1.29,1,1,1,1,1
54003,Abrego,Norte de Santander,Municipio,5.12,2,5,4,2,2
54051,Arboledas,Norte de Santander,Municipio,3.01,2,3,2,1,1
54125,C<U+00E1>cota,Norte de Santander,Municipio,1.02,1,1,1,1,1
54172,Chin<U+00E1>cota,Norte de Santander,Municipio,3.52,2,3,3,2,2
54174,Chitag<U+00E1>,Norte de Santander,Municipio,2.04,1,2,2,1,1
54206,Convenci<U+00F3>n,Norte de Santander,Municipio,3.97,2,4,3,2,2
54223,Cucutilla,Norte de Santander,Municipio,1.07,1,1,1,1,1
54245,El Carmen,Norte de Santander,Municipio,4.63,2,4,3,2,2
54250,El Tarra,Norte de Santander,Municipio,5.16,2,5,4,2,2
54347,Herr<U+00E1>n,Norte de Santander,Municipio,2.6,1,2,2,1,1
54385,La Esperanza,Norte de Santander,Municipio,5.49,2,5,4,2,2
54398,La Playa,Norte de Santander,Municipio,1.74,1,1,1,1,1
54418,Lourdes,Norte de Santander,Municipio,1.94,1,2,1,1,1
54480,Mutiscua,Norte de Santander,Municipio,1.42,1,1,1,1,1
54520,Pamplonita,Norte de Santander,Municipio,1.94,1,2,1,1,1
54553,Puerto Santander,Norte de Santander,Municipio,5.43,2,5,4,2,2
54599,Ragonvalia,Norte de Santander,Municipio,2.27,1,2,2,1,1
54660,Salazar,Norte de Santander,Municipio,3.71,2,4,3,2,2
54670,San Calixto,Norte de Santander,Municipio,4.23,2,4,3,2,2
54673,San Cayetano,Norte de Santander,Municipio,5.18,2,5,4,2,2
54680,Santiago,Norte de Santander,Municipio,4.73,2,4,4,2,2
54743,Silos,Norte de Santander,Municipio,2.67,1,2,2,1,1
54800,Teorama,Norte de Santander,Municipio,2.34,1,2,2,1,1
54810,Tib<U+00FA>,Norte de Santander,Municipio,6.15,3,5,4,2,2
54871,Villa Caro,Norte de Santander,Municipio,1.63,1,1,1,1,1
